run,segment_id,start,end,duration,avg_logprob,no_speech_prob,compression_ratio,compression_penalty,z_avg_logprob,z_no_speech_prob,z_compression_penalty,quality_score,agreement_overlap_duration,agreement_overlap_ratio,agreement_match_count,has_multi_speaker_overlap,multi_speaker_overlap_duration,multi_speaker_overlap_ratio,multi_speaker_match_count,raw_text
VAD_2000,wseg_003695,9877.44,9880.46,3.0199999999986176,-0.06358007988277471,0.05133056640625,9.235294117647058,6.835294117647058,0.3061756603963205,2.5096871323465058,38.07700424793577,-40.280515719885955,2.5199999999986176,0.8344370860926394,2,False,0.0,0.0,0,monsieur le député
VAD_2000,wseg_003681,9850.48,9852.48,2.0,-0.06358007988277471,0.05133056640625,9.235294117647058,6.835294117647058,0.3061756603963205,2.5096871323465058,38.07700424793577,-40.280515719885955,2.0,1.0,1,False,0.0,0.0,0,monsieur le député
VAD_2000,wseg_003682,9853.68,9853.7,0.020000000000436557,-0.06358007988277471,0.05133056640625,9.235294117647058,6.835294117647058,0.3061756603963205,2.5096871323465058,38.07700424793577,-40.280515719885955,0.020000000000436557,1.0,1,False,0.0,0.0,0,monsieur le député
VAD_2000,wseg_003683,9853.7,9854.02,0.31999999999970896,-0.06358007988277471,0.05133056640625,9.235294117647058,6.835294117647058,0.3061756603963205,2.5096871323465058,38.07700424793577,-40.280515719885955,0.31999999999970896,1.0,1,False,0.0,0.0,0,monsieur le député
VAD_2000,wseg_003686,9860.7,9861.72,1.0199999999986176,-0.06358007988277471,0.05133056640625,9.235294117647058,6.835294117647058,0.3061756603963205,2.5096871323465058,38.07700424793577,-40.280515719885955,0.81999999999789,0.8039215686264719,2,False,0.0,0.0,0,monsieur le député
VAD_2000,wseg_003687,9861.72,9862.8,1.0799999999999272,-0.06358007988277471,0.05133056640625,9.235294117647058,6.835294117647058,0.3061756603963205,2.5096871323465058,38.07700424793577,-40.280515719885955,1.0799999999999272,1.0,1,False,0.0,0.0,0,monsieur le député
VAD_2000,wseg_003685,9858.48,9860.7,2.220000000001164,-0.06358007988277471,0.05133056640625,9.235294117647058,6.835294117647058,0.3061756603963205,2.5096871323465058,38.07700424793577,-40.280515719885955,2.220000000001164,1.0,1,False,0.0,0.0,0,monsieur le député
VAD_2000,wseg_003690,9866.4,9869.0,2.600000000000364,-0.06358007988277471,0.05133056640625,9.235294117647058,6.835294117647058,0.3061756603963205,2.5096871323465058,38.07700424793577,-40.280515719885955,2.600000000000364,1.0,1,False,0.0,0.0,0,monsieur le député
VAD_2000,wseg_003691,9869.0,9869.48,0.47999999999956344,-0.06358007988277471,0.05133056640625,9.235294117647058,6.835294117647058,0.3061756603963205,2.5096871323465058,38.07700424793577,-40.280515719885955,0.47999999999956344,1.0,1,False,0.0,0.0,0,monsieur le député
VAD_2000,wseg_003693,9872.56,9875.6,3.040000000000873,-0.06358007988277471,0.05133056640625,9.235294117647058,6.835294117647058,0.3061756603963205,2.5096871323465058,38.07700424793577,-40.280515719885955,2.8400000000001455,0.934210526315569,2,False,0.0,0.0,0,monsieur le député
VAD_2000,wseg_003694,9875.6,9877.44,1.8400000000001455,-0.06358007988277471,0.05133056640625,9.235294117647058,6.835294117647058,0.3061756603963205,2.5096871323465058,38.07700424793577,-40.280515719885955,1.5399999999990541,0.8369565217385502,2,False,0.0,0.0,0,monsieur le député
VAD_2000,wseg_003688,9862.8,9864.6,1.8000000000010914,-0.06358007988277471,0.05133056640625,9.235294117647058,6.835294117647058,0.3061756603963205,2.5096871323465058,38.07700424793577,-40.280515719885955,1.8000000000010914,1.0,1,False,0.0,0.0,0,monsieur le député
VAD_2000,wseg_001052,3553.67,3553.73,0.05999999999994543,-1.5662156887424803,0.03228759765625,1.5060240963855422,0.0,-30.04544259624575,1.4288615812971044,-0.02701408785019246,-31.44729008969266,0.05999999999994543,1.0,1,False,0.0,0.0,0,d'accepter
VAD_2000,wseg_001047,3536.45,3540.43,3.980000000000018,-1.5662156887424803,0.03228759765625,1.5060240963855422,0.0,-30.04544259624575,1.4288615812971044,-0.02701408785019246,-31.44729008969266,3.380000000000109,0.8492462311558024,3,False,0.0,0.0,0,qui a été touchée
VAD_2000,wseg_001048,3540.43,3544.23,3.800000000000182,-1.5662156887424803,0.03228759765625,1.5060240963855422,0.0,-30.04544259624575,1.4288615812971044,-0.02701408785019246,-31.44729008969266,3.699999999999818,0.9736842105262213,2,False,0.0,0.0,0,par beaucoup d'entre nous
